ip_src,ip_dst,ip_proto,port_src,port_dst,avg_pkt_size,tag
10.0.0.1,10.0.0.2,6,35846,5001,50405.12,iperf_tcp
10.0.0.2,10.0.0.1,6,5001,35846,68,iperf_tcp
10.0.0.1,10.0.0.2,6,44276,5002,47543.85,iperf_tcp
10.0.0.2,10.0.0.1,6,5002,44276,68,iperf_tcp
10.0.0.1,10.0.0.2,6,47270,5003,49383.34,iperf_tcp
10.0.0.2,10.0.0.1,6,5003,47270,68,iperf_tcp
10.0.0.1,10.0.0.2,6,58890,5004,49135.66,iperf_tcp
10.0.0.2,10.0.0.1,6,5004,58890,68,iperf_tcp
10.0.0.1,10.0.0.2,6,51502,5005,48562.03,iperf_tcp
10.0.0.2,10.0.0.1,6,5005,51502,68,iperf_tcp
10.0.0.1,10.0.0.2,17,57651,5001,1514,iperf_udp
10.0.0.2,10.0.0.1,17,5001,57651,1514,iperf_udp
10.0.0.1,10.0.0.2,17,35127,5002,1514,iperf_udp
10.0.0.2,10.0.0.1,17,5002,35127,1514,iperf_udp
10.0.0.1,10.0.0.2,17,50250,5003,1514,iperf_udp
10.0.0.2,10.0.0.1,17,5003,50250,1514,iperf_udp
10.0.0.1,10.0.0.2,17,43446,5004,1514,iperf_udp
10.0.0.2,10.0.0.1,17,5004,43446,1514,iperf_udp
10.0.0.1,10.0.0.2,17,37945,5005,1514,iperf_udp
10.0.0.2,10.0.0.1,17,5005,37945,1514,iperf_udp
10.0.0.1,10.0.0.2,1,0,0,100,ping
10.0.0.2,10.0.0.1,1,0,0,100,ping
10.0.0.1,10.0.0.2,1,0,0,100,ping
10.0.0.2,10.0.0.1,1,0,0,100,ping
10.0.0.1,10.0.0.2,1,0,0,100,ping
10.0.0.2,10.0.0.1,1,0,0,100,ping
10.0.0.1,10.0.0.2,1,0,0,100,ping
10.0.0.2,10.0.0.1,1,0,0,100,ping
10.0.0.1,10.0.0.2,1,0,0,100,ping
10.0.0.2,10.0.0.1,1,0,0,100,ping
